data_year,criminal_act_id,offense_id
2021,6,163226662
2021,2,168661350
2021,6,168661356
2021,3,169494138
2021,6,169494138
2021,8,169494138
2021,6,169494137
2021,12,169494136
2021,14,169494136
2021,6,169494134
2021,6,169494135
2021,6,177080376
2021,6,166672378
2021,6,166672379
2021,6,161136980
2021,9,162951864
2021,6,164329456
2021,9,162945943
2021,6,164329458
2021,6,164329459
2021,9,166672382
2021,6,166672428
2021,6,167802797
2021,6,167802798
2021,6,167802799
2021,6,166672431
2021,6,166672432
2021,9,167802800
2021,6,167802801
2021,6,167802804
2021,6,167802805
2021,6,167802806
2021,9,170397206
2021,9,169410522
2021,6,169410523
2021,6,169410524
2021,9,171543994
2021,6,170397211
2021,6,170397212
2021,6,170397213
2021,6,170397214
2021,6,171544770
2021,6,171544771
2021,6,171544772
2021,9,171544773
2021,9,178360947
2021,9,180059222
2021,9,173287449
2021,9,178360930
2021,9,174890032
2021,6,173287450
2021,6,173287451
2021,9,174890034
2021,6,174890035
2021,6,175868998
2021,6,175868999
2021,9,178360937
2021,6,175869001
2021,6,175869002
2021,6,161308621
2021,6,161314246
2021,6,176155488
2021,8,161308617
2021,6,161308615
2021,14,176155480
2021,3,163217548
2021,6,163217548
2021,6,163217547
2021,6,163217549
2021,8,163217546
2021,8,163217545
2021,6,163217537
2021,6,163217538
2021,6,164445199
2021,8,174658964
2021,3,163208786
2021,6,163208786
2021,8,163208786
2021,3,163208787
2021,6,163208787
2021,8,163208787
2021,6,163217536
2021,6,166646173
2021,6,166646174
2021,8,174937019
2021,6,164445190
2021,6,164445173
2021,6,164445174
2021,6,176155512
2021,6,165590623
2021,6,165590624
2021,6,165590609
2021,6,168073514
2021,6,168073515
2021,6,168073518
2021,6,168073557
2021,6,166649805
2021,6,168073547
2021,6,168073555
2021,6,168073556
2021,6,168073541
2021,6,168073542
2021,8,168073538
2021,6,170442288
2021,2,169495107
2021,3,169495107
2021,6,169495107
2021,8,169495108
2021,6,178191139
2021,6,178191140
2021,6,172075667
2021,6,178191141
2021,6,170442410
2021,6,170442411
2021,6,170442403
2021,6,178191157
2021,6,178191158
2021,8,178191158
2021,6,178191159
2021,6,178191142
2021,6,178191143
2021,3,176161366
2021,6,176155617
2021,6,176155613
2021,6,176155614
2021,8,174659006
2021,6,173260949
2021,6,176155659
2021,8,174659017
2021,6,174659019
2021,6,174659016
2021,6,174659013
2021,6,174659014
2021,6,174658999
2021,6,174659000
2021,2,176160340
2021,6,180077633
2021,6,176161331
2021,6,176161332
2021,6,176161316
2021,6,176161307
2021,6,176161308
2021,8,176161320
2021,8,178191161
2021,6,176161302
2021,6,176161303
2021,6,176160325
2021,6,176160326
2021,6,176160320
2021,6,176160321
2021,6,176160318
2021,6,178191171
2021,6,178191172
2021,6,166796581
2021,6,166796579
2021,8,166796579
2021,6,163222511
2021,6,163222510
2021,8,169431500
2021,8,169431501
2021,9,169431497
2021,1,180060370
2021,8,180060370
2021,6,173590139
2021,6,180070998
2021,6,180070999
2021,6,180070996
2021,6,180070997
2021,6,180060360
2021,6,180070995
2021,6,161291936
2021,8,161288102
2021,8,161288103
2021,6,169330462
2021,6,169330463
2021,6,161291937
2021,9,161288107
2021,6,169330465
2021,6,161291941
