data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,141477571,140984653,7,,
2021,141477572,140984654,7,,
2021,142185886,141808760,7,,
2021,141477569,140984650,7,,
2021,142185869,141808743,7,,
2021,142185872,141808746,5,,
2021,142185873,141808746,7,,
2021,145347930,145493963,7,1,
2021,141477565,140984647,5,,
2021,141477566,140984647,7,,
2021,142185883,141808757,4,,
2021,141477573,140984655,1,,
2021,148001728,148587734,6,,
2021,145347939,145493975,7,,
2021,146469766,146798702,7,,
2021,142185889,141808762,5,,
2021,142185890,141808762,7,,
2021,143402513,143237540,6,,
2021,145347932,145493967,7,,
2021,141477563,140984646,5,,1
2021,141477564,140984646,7,1,
2021,145347937,145493972,7,,
2021,145347927,145493959,7,,
2021,146469769,146798705,7,,
2021,142185887,141808761,5,,1
2021,142185888,141808761,7,1,
2021,142185884,141808758,4,,
2021,142185880,141808754,5,,1
2021,142185881,141808754,7,1,
2021,145347938,145493973,7,,
2021,142185879,141808753,7,,
2021,142185849,141808720,5,,
2021,142185850,141808720,7,,
2021,143402514,143237541,7,,
2021,142185874,141808747,7,,
2021,142185848,141808719,1,,
2021,145347936,145493971,1,,
2021,146469764,146798699,7,,
2021,148001729,148587735,6,,
2021,142185863,141808737,4,,
2021,142185862,141808736,6,,
2021,142185857,141808730,6,,
2021,146469801,146798744,4,,
2021,145347931,145493966,7,,
2021,142185855,141808727,7,,
2021,142185852,141808722,7,,
2021,143402512,143237539,1,,
2021,142185861,141808734,1,,
2021,148001741,148587750,6,,
2021,146472686,146802908,7,,
2021,144292878,144269981,7,,
2021,146469866,146798832,1,,
2021,143402530,143237558,7,1,
2021,146473301,146803773,4,,
2021,143402531,143237559,7,,
2021,143402529,143237556,7,,
2021,143402523,143237548,7,,
2021,148001730,148587736,6,,
2021,143402528,143237553,7,,
2021,143402526,143237551,5,,
2021,143402527,143237551,7,,
2021,143560765,143422260,7,,
2021,146473331,146803809,6,,
2021,143402519,143237546,7,,
2021,146469825,146798775,4,,
2021,146469793,146798733,6,,
2021,144292877,144269977,1,,
2021,146469787,146798727,4,,
2021,144292860,144269963,1,,
2021,146469789,146798730,5,,
2021,146469790,146798730,6,,
2021,146469791,146798730,7,,
2021,146469869,146798836,7,,
2021,144292880,144269984,4,,
2021,145347952,145493990,3,,
2021,145347940,145493976,7,,
2021,146469822,146798769,7,,
2021,144292870,144269973,6,,
2021,144292871,144269974,4,,
2021,144292872,144269974,5,,
2021,144292873,144269974,7,,
2021,146469819,146798766,5,,
2021,146469820,146798766,7,,
2021,144292861,144269964,5,,
2021,144292862,144269964,7,,
2021,144292869,144269972,4,,
2021,145347963,145494000,6,,
2021,146469817,146798762,7,,
2021,144292863,144269965,7,,
2021,144292866,144269967,7,,
2021,146469812,146798759,5,,1
2021,146469813,146798759,7,1,
2021,146473311,146803787,7,,
2021,146473329,146803808,5,,
2021,146473330,146803808,7,,
2021,145347953,145493991,7,,
2021,145347961,145493998,7,,
2021,145347962,145493999,6,,
2021,145347946,145493985,5,,1
2021,145347947,145493985,7,1,
2021,145347948,145493987,5,,
2021,145347949,145493987,7,,
2021,145347960,145493997,6,,
2021,145347955,145493993,7,,
2021,145347958,145493996,5,,1
2021,145347959,145493996,7,1,
2021,145347954,145493992,7,,
2021,146473328,146803806,7,,
2021,146469871,146798839,7,,
2021,145347956,145493994,7,,
2021,145347950,145493988,4,,
2021,146473326,146803804,1,,
2021,145347945,145493984,6,,
2021,146473323,146803800,4,,
2021,146472685,146802906,3,,
2021,145347943,145493981,7,,
2021,146473320,146803798,7,,
2021,146473325,146803802,7,,
2021,146473303,146803775,4,,
2021,146473305,146803778,4,,
2021,146473308,146803782,7,,
2021,146473315,146803792,7,,
2021,146473314,146803791,4,,
2021,146473312,146803789,7,,
2021,146473316,146803794,7,,
2021,149420246,150223826,6,,
2021,146473290,146803758,7,,
2021,146473295,146803764,7,,
2021,146473307,146803781,6,,
2021,146473292,146803762,5,,1
2021,146473293,146803762,7,1,
2021,146473297,146803768,6,,
2021,146473291,146803760,6,,
2021,149420276,150223857,7,,
2021,146473299,146803771,6,,
2021,148001742,148587752,6,,
2021,148001747,148587759,7,,
2021,148001746,148587758,4,,
2021,146472681,146802903,7,,
2021,146472679,146802901,1,,
2021,146472677,146802899,7,,
2021,146473288,146803756,6,,
2021,148030850,148621985,7,,
2021,146472671,146802895,6,,
2021,146472674,146802897,4,,
2021,146472669,146802891,6,,
2021,146472668,146802889,6,,
2021,148001749,148587761,6,,
2021,149420274,150223854,4,,
2021,139456947,138631477,7,,
2021,139456949,138631479,7,,
2021,139456948,138631478,6,,
2021,139456946,138631476,6,,
2021,136802777,135605910,6,,
2021,137916017,136859733,7,1,
2021,141431334,140929196,5,,
2021,141431335,140929196,7,,
2021,141431336,140929197,6,,
2021,140341614,139656926,7,1,
2021,149408096,150208783,4,,
2021,149408097,150208786,1,,
2021,145379296,145530509,1,,
2021,144532752,144560565,6,,
