data_year,suspect_using_id,offense_id
2021,4,161424052
2021,1,161424051
2021,4,163222508
2021,4,168661349
2021,4,163226663
2021,4,163226662
2021,4,164555805
2021,4,166187139
2021,4,164555804
2021,1,168661352
2021,4,171455481
2021,4,166187142
2021,4,168661354
2021,2,178229253
2021,4,178372516
2021,4,166696128
2021,1,178231162
2021,1,166187137
2021,3,168661350
2021,4,166696133
2021,4,178229252
2021,1,168661356
2021,1,168661357
2021,4,168661351
2021,4,169494139
2021,4,169494138
2021,4,169494137
2021,4,169494136
2021,4,169494133
2021,3,169494134
2021,3,169494135
2021,4,178229246
2021,4,169494131
2021,4,178229251
2021,2,169494132
2021,4,178229250
2021,4,171005086
2021,4,171005087
2021,4,178229259
2021,4,178229258
2021,4,178229257
2021,4,178229256
2021,4,178229255
2021,1,177080375
2021,3,177080375
2021,1,177080376
2021,3,177080376
2021,4,175126645
2021,4,175126697
2021,4,178229247
2021,4,178229261
2021,1,178229262
2021,3,178229262
2021,4,161136977
2021,3,166672378
2021,3,166672379
2021,4,161135047
2021,3,161136980
2021,4,161136981
2021,4,162951864
2021,4,164329454
2021,4,164329455
2021,4,164329456
2021,4,162945943
2021,4,164329457
2021,4,166672427
2021,3,164329458
2021,3,164329459
2021,1,166672382
2021,3,166672428
2021,3,173287447
2021,3,167802797
2021,3,167802798
2021,3,167802799
2021,4,173287448
2021,4,166672430
2021,3,166672431
2021,3,166672432
2021,3,167802800
2021,3,167802801
2021,4,169410520
2021,4,167802802
2021,4,167802803
2021,3,167802804
2021,3,167802805
2021,3,167802806
2021,1,170397206
2021,4,169410522
2021,3,169410523
2021,3,169410524
2021,4,170397207
2021,4,170397208
2021,4,170397209
2021,3,171543994
2021,3,170397211
2021,3,170397212
2021,4,178360943
2021,3,170397213
2021,3,170397214
2021,3,171544770
2021,3,171544771
2021,3,171544772
2021,3,171544773
2021,1,178360947
2021,4,180059222
2021,4,173287449
2021,1,178360930
2021,4,174890032
2021,3,173287450
2021,3,173287451
2021,4,174890033
2021,4,174890034
2021,3,174890035
2021,3,175868998
2021,3,175868999
2021,4,178360937
2021,3,175869001
2021,3,175869002
2021,4,178360957
2021,4,176155461
2021,3,161308621
2021,4,161308624
2021,4,161314246
2021,4,163217544
2021,4,163208766
2021,1,161314248
2021,4,161314247
2021,4,163208799
2021,3,176155488
2021,4,161329165
2021,4,161314244
2021,4,176155456
2021,4,163217551
2021,4,164445156
2021,4,163208781
2021,4,163217550
2021,4,161308617
2021,4,161308618
2021,4,163208796
2021,3,161308615
2021,4,176155490
2021,4,163208790
2021,4,163217543
2021,4,176155480
2021,4,163217552
2021,4,164445201
2021,4,176155504
2021,4,176155501
2021,4,168073534
2021,3,163217548
2021,3,163217547
2021,3,163217549
2021,4,163208793
2021,3,163217546
2021,3,163217545
2021,4,163208789
2021,4,176155486
2021,4,163208794
2021,4,163217537
2021,4,163217538
2021,2,164445196
2021,4,164445198
2021,4,164445199
2021,4,176155482
2021,4,163217541
2021,4,174658964
2021,4,163217540
2021,4,163217535
2021,4,174658961
2021,4,174658962
2021,3,163208786
2021,3,163208787
2021,3,163208785
2021,4,164445194
2021,4,164445188
2021,4,174658965
2021,1,163217536
2021,3,163217536
2021,4,166646173
2021,4,166646174
2021,4,164445186
2021,3,164445184
2021,4,164445195
2021,4,164445197
2021,4,174937019
2021,4,174937020
2021,1,164445193
2021,4,164445192
2021,4,164445185
2021,4,165590605
2021,3,164445190
2021,4,164445183
2021,4,176155496
2021,1,164445176
2021,4,168073549
2021,2,174659071
2021,4,176155498
2021,4,176155497
2021,4,176155495
2021,4,164445175
2021,1,164445160
2021,4,164445167
2021,4,169495068
2021,4,168073513
2021,4,164445169
2021,3,164445172
2021,3,164445173
2021,3,164445174
2021,4,164445170
2021,1,164445165
2021,4,164445163
2021,4,164445159
2021,4,165590627
2021,1,165590628
2021,1,164445161
2021,1,164445162
2021,4,176155510
2021,4,166646245
2021,4,164445158
2021,4,176161336
2021,3,176155512
2021,4,174658984
2021,4,176155576
2021,2,165596196
2021,4,165590626
2021,3,165590623
2021,3,165590624
2021,4,165590625
2021,4,170442273
2021,4,165590617
2021,4,170442274
2021,1,165590621
2021,4,165590614
2021,4,169495067
2021,4,174658968
2021,4,174658969
2021,4,166650068
2021,4,166650069
2021,4,165590607
2021,4,166646242
2021,4,165590604
2021,4,169495096
2021,4,165590602
2021,3,165590609
2021,4,165590606
2021,4,174658966
2021,4,166650092
2021,3,168073514
2021,3,168073515
2021,4,166650095
2021,4,169495073
2021,4,166650087
2021,4,174658971
2021,1,174658972
2021,4,168073518
2021,4,166650086
2021,4,166650085
2021,4,166650093
2021,4,166650090
2021,4,168073516
2021,4,166650088
2021,4,166650089
2021,4,176155518
2021,4,168073517
2021,4,166650084
2021,4,166650077
2021,4,166650078
2021,4,168073557
2021,4,169495069
2021,4,169495070
2021,4,176155515
2021,4,180077620
2021,3,166650075
2021,4,166649804
2021,4,174658970
2021,1,166650073
2021,4,166649806
2021,4,166649807
2021,4,168073552
2021,4,166650070
2021,3,166649805
2021,4,166649808
2021,4,169495072
2021,4,168073536
2021,3,168073547
2021,3,168073553
2021,4,168073554
2021,3,168073555
2021,3,168073556
2021,4,168073540
2021,4,168073548
2021,4,168073550
2021,4,170442407
2021,3,168073541
2021,3,168073542
2021,4,168073546
2021,4,168073539
2021,4,168073544
2021,4,168073543
2021,4,168073545
2021,3,168073537
2021,3,168073538
2021,4,168073530
2021,4,168073532
2021,4,168073535
2021,4,178191138
2021,1,168073531
2021,4,174658974
2021,4,168073524
2021,4,168073525
2021,4,168073526
2021,4,176155546
2021,4,168073529
2021,4,168073527
