data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,43229429,,51
2021,45219253,,51
2021,44768804,,51
2021,45495027,,51
2021,42754015,,51
2021,41486519,,51
2021,41799418,,51
2021,42708676,,51
2021,42708675,,51
2021,43506454,,51
2021,45764792,,51
2021,45764793,,51
2021,45354275,,51
2021,45354274,,51
2021,43930699,,51
2021,44523780,,52
2021,45354279,,51
2021,44523779,,51
2021,44589997,,51
2021,44952979,,51
2021,45354278,,51
2021,44952978,,52
2021,42154391,,3
2021,42154392,,51
2021,42154389,,51
2021,42154388,,51
2021,42154387,,51
2021,42154384,,51
2021,42154386,,51
2021,42154385,,51
2021,42154383,,51
2021,42154390,,51
2021,42154393,,51
2021,42154394,,51
2021,42717334,,51
2021,42717339,,51
2021,42717337,,51
2021,42717340,,51
2021,42717338,,51
2021,43276579,,51
2021,43276581,,51
2021,43276580,,51
2021,43895822,,51
2021,43895821,,51
2021,43895820,,51
2021,43895823,,51
2021,45487370,,51
2021,45487377,,51
2021,45487375,,51
2021,45487371,,51
2021,45487372,,51
2021,41937982,,51
2021,41937983,,51
2021,42754016,,51
2021,42754017,,51
2021,41312632,,51
2021,42156681,,51
2021,42754019,,51
2021,42754040,,51
2021,43027468,,51
2021,42754041,,51
2021,42754042,,51
2021,43027469,,51
2021,43027470,,51
2021,43648560,,51
2021,43406685,,51
2021,43406686,,51
2021,43930674,,51
2021,45931692,,52
2021,45931690,,51
2021,43432704,,51
2021,43648562,,51
2021,43701646,,51
2021,43930858,,51
2021,43930859,,51
2021,44345996,,51
2021,45699830,,51
2021,44810932,,51
2021,45931694,,52
2021,45699831,,51
2021,45699832,,51
2021,45526552,,51
2021,45699827,,51
2021,45699828,,51
2021,44345997,,51
2021,44345998,,51
2021,44714198,,51
2021,44946966,,51
2021,44946967,,51
2021,44946968,,51
2021,45526554,,51
2021,44946970,,51
2021,41360478,,51
2021,42248810,,51
2021,42552929,,51
2021,42552930,,51
2021,43948564,,51
2021,43948565,,51
2021,43027454,,51
2021,43027453,,51
2021,43027452,,51
2021,43948656,,51
2021,45713440,,51
2021,44800170,,51
2021,44800171,,51
2021,45713415,,9
2021,45713441,,51
2021,45218124,,51
2021,41362241,,51
2021,41357343,,52
2021,41900865,,51
2021,41900864,,5
2021,41900862,,51
2021,41900863,,51
2021,41899065,,51
2021,42182543,,51
2021,41900861,,51
2021,41900860,,51
2021,42746086,,51
2021,42182539,,51
2021,42182542,,51
2021,42182541,,51
2021,42182540,,51
2021,42182538,,51
2021,42182537,,51
2021,42182536,,51
2021,42182535,,51
2021,42182534,,51
2021,42182533,,51
2021,42466040,,51
2021,42466039,,51
2021,42466038,,51
2021,42466036,,51
2021,42466035,,51
2021,42466037,,51
2021,44662688,,51
2021,42747090,,51
2021,42747089,,51
2021,42747088,,51
2021,42747087,,51
2021,42747021,,51
2021,42747022,,51
2021,43090344,,51
2021,43090346,,51
2021,43090345,,51
2021,43090343,,51
2021,43090342,,51
2021,43090341,,51
2021,43090340,,51
2021,43425496,,51
2021,43425495,,51
2021,45486489,,51
2021,43658178,,51
2021,43658175,,51
2021,44051243,,51
2021,43658173,,51
2021,44051241,,51
2021,44051242,,51
2021,45006592,,51
2021,45006591,,51
2021,44338873,,51
2021,44338874,,51
2021,45951442,,51
2021,44338870,,51
2021,44338871,,51
2021,45006595,,51
2021,44662696,,51
2021,44662694,,51
2021,44662695,,51
2021,44662693,,51
2021,44662691,,51
2021,44662692,,51
2021,44662690,,51
2021,45951445,,52
2021,45007012,,51
2021,45007010,,51
2021,45007008,,51
2021,45007011,,51
2021,45007007,,51
2021,45006958,,51
2021,45006959,,51
2021,45006957,,51
2021,45006956,,51
2021,45486495,,5
2021,45486496,,51
2021,45486497,,51
