data_year,victim_id,offense_id
2021,152391756,166650093
2021,152391753,166650090
2021,153812350,168073516
2021,152391751,166650088
2021,152391752,166650089
2021,161872805,176155518
2021,153812351,168073517
2021,153812352,168073517
2021,152391747,166650084
2021,152391740,166650077
2021,152391740,166650078
2021,153812396,168073557
2021,155231159,169495069
2021,155231160,169495070
2021,161872802,176155515
2021,165776241,180077620
2021,152391738,166650075
2021,152391471,166649804
2021,160377017,174658970
2021,152391736,166650073
2021,152391473,166649806
2021,152391473,166649807
2021,153812392,168073552
2021,152391733,166650070
2021,152391472,166649805
2021,152391474,166649808
2021,155231162,169495072
2021,153812372,168073536
2021,153812387,168073547
2021,153812393,168073553
2021,153812394,168073555
2021,153812394,168073556
2021,153812395,168073554
2021,153812376,168073540
2021,153812388,168073548
2021,153812390,168073550
2021,156176694,170442407
2021,153812377,168073541
2021,153812377,168073542
2021,153812381,168073546
2021,153812382,168073546
2021,153812383,168073546
2021,153812384,168073546
2021,153812385,168073546
2021,153812386,168073546
2021,153812375,168073539
2021,153812379,168073544
2021,153812378,168073543
2021,153812380,168073545
2021,153812373,168073537
2021,153812374,168073538
2021,153812365,168073530
2021,153812367,168073532
2021,153812371,168073535
2021,163907453,178191138
2021,153812366,168073531
2021,160377022,174658974
2021,153812360,168073524
2021,153812361,168073525
2021,153812361,168073526
2021,161872834,176155546
2021,153812364,168073529
2021,153812362,168073527
2021,153812363,168073528
2021,156176585,170442287
2021,156176585,170442288
2021,155231192,169495105
2021,155231193,169495105
2021,155231171,169495082
2021,160377026,174658978
2021,160377027,174658978
2021,155231195,169495107
2021,155231195,169495108
2021,156176584,170442285
2021,156176584,170442286
2021,155231188,169495099
2021,161872858,176155569
2021,160377028,174658979
2021,155231183,169495095
2021,155231180,169495092
2021,161872855,176155566
2021,155231176,169495087
2021,155231177,169495088
2021,156176725,170442435
2021,155231173,169495084
2021,156176706,170442418
2021,156176709,170442421
2021,160377025,174658977
2021,155231170,169495081
2021,156176720,170442432
2021,156176721,170442432
2021,156176722,170442432
2021,160377023,174658975
2021,155231178,169495089
2021,163907454,178191139
2021,163907454,178191140
2021,160377038,174658989
