data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2021,147277784,152300534,1,
2021,151933685,156916282,9,
2021,152436410,157418781,1,
2021,163947288,168804108,25,
2021,163947288,168804109,3,
2021,163947289,168804108,3,
2021,163947289,168804109,25,
2021,151933680,156916277,9,
2021,152436416,157418784,27,
2021,154398892,159356158,16,
2021,155230261,160176958,1,
2021,155230261,160176959,1,
2021,163945418,168802215,17,
2021,163945419,168802215,17,
2021,155230258,160176956,17,
2021,155230259,160176956,17,
2021,163945422,168802218,27,
2021,156741710,161676080,24,
2021,156741711,161676080,24,
2021,163945428,168802225,5,
2021,160844829,165743943,17,
2021,160844891,165743997,17,
2021,163945434,168802231,24,
2021,148818457,153805758,17,
2021,148811158,153810027,19,
2021,152413372,157394763,19,
2021,152413372,157394764,17,
2021,152413373,157394763,13,
2021,152413373,157394764,17,
2021,152413374,157394763,15,
2021,152413374,157394764,25,
2021,152413375,157394763,25,
2021,152413375,157394764,15,
2021,152413414,157394802,1,
2021,153542322,158508032,3,
2021,156131483,161067628,3,
2021,155146624,160093996,27,
2021,157279467,162205767,27,
2021,157279468,162205767,5,
2021,157280231,162206549,25,
2021,157280231,162206550,22,
2021,157280232,162206549,20,
2021,157280232,162206550,25,
2021,157280233,162206549,21,
2021,157280233,162206550,17,
2021,164073846,168931798,1,
2021,165758102,170598964,1,
2021,165758103,170598964,1,
2021,165758104,170598964,27,
2021,159003797,163912780,1,
2021,159003798,163912780,1,
2021,164073829,168931782,16,
2021,160603660,165498742,1,
2021,160603662,165498744,17,
2021,160603663,165498744,19,
2021,164073837,168931788,16,
2021,147172664,152195455,16,
2021,147187181,152214983,3,
2021,147187181,152214984,25,
2021,147187182,152214983,25,
2021,147187182,152214984,3,
2021,150188974,155182057,27,
2021,149083755,154062320,1,
2021,149083754,154062320,3,
2021,161872776,166748389,27,
2021,149083762,154062327,24,
2021,149083766,154062331,16,
2021,149083766,154062332,16,
2021,150189016,155182097,1,
2021,149079478,154070773,25,
2021,149079478,154070774,26,
2021,149079477,154070773,26,
2021,149079477,154070774,25,
2021,150189014,155182095,16,
2021,150189004,155182085,1,
2021,150189015,155182096,3,
2021,150189013,155182094,3,
2021,150189012,155182093,16,
2021,150189003,155182083,1,
2021,150189003,155182084,7,
2021,150188996,155182076,3,
2021,150188981,155182062,17,
2021,150188993,155182074,17,
2021,150188986,155182067,21,
2021,150188984,155182065,17,
2021,151335202,156321116,18,
2021,151335202,156321117,18,
2021,151335203,156321116,18,
2021,151335203,156321117,18,
2021,150188982,155182063,18,
2021,150188982,155182064,18,
2021,150188983,155182063,18,
2021,150188983,155182064,18,
2021,150188979,155182060,27,
2021,161878692,166754216,1,
2021,151335197,156321111,3,
2021,151335197,156321112,16,
2021,151335198,156321111,20,
2021,151335198,156321112,5,
2021,151335199,156321111,16,
2021,151335199,156321112,3,
2021,151335189,156321101,14,
2021,151335189,156321102,16,
2021,151335190,156321101,16,
2021,151335190,156321102,14,
2021,156176570,161111454,14,
2021,156176570,161111455,16,
2021,151335194,156321106,14,
2021,151335194,156321107,14,
2021,155231156,160177882,1,
2021,155231156,160177883,1,
2021,155231157,160177882,1,
2021,155231157,160177883,1,
2021,160377016,165275749,14,
2021,152391732,157373818,1,
2021,152391732,157373819,1,
2021,152387877,157369997,5,
2021,160377013,165275746,3,
2021,152391758,157373849,21,
2021,152391758,157373850,16,
2021,152391759,157373849,16,
2021,152391759,157373850,21,
2021,160377018,165275751,1,
2021,160377019,165275752,1,
2021,160377020,165275752,1,
2021,152391748,157373837,9,
2021,152391748,157373838,18,
2021,152391756,157373847,1,
2021,152391753,157373844,27,
2021,152391752,157373843,19,
2021,161872805,166748421,27,
2021,153812351,158771904,18,
2021,153812351,158771905,18,
2021,153812352,158771904,18,
2021,153812352,158771905,18,
2021,152391740,157373829,14,
2021,155231159,160177885,14,
2021,155231159,160177886,18,
2021,155231160,160177885,18,
2021,155231160,160177886,14,
2021,152391736,157373825,3,
2021,152391474,157373556,17,
2021,153812393,158771942,26,
2021,153812393,158771943,16,
2021,153812388,158771936,3,
2021,153812390,158771938,3,
2021,153812381,158771934,16,
2021,153812382,158771934,16,
2021,153812383,158771934,16,
2021,153812384,158771934,16,
2021,153812385,158771934,16,
2021,153812386,158771934,16,
2021,153812375,158771928,3,
2021,153812379,158771932,24,
2021,153812380,158771933,14,
2021,153812373,158771926,3,
2021,153812373,158771927,16,
2021,153812366,158771918,3,
2021,161872834,166748443,24,
2021,161872834,166748444,24,
2021,153812363,158771915,16,
2021,160377026,165275758,26,
2021,160377026,165275759,16,
2021,160377027,165275758,16,
2021,160377027,165275759,26,
2021,156176584,161111467,1,
2021,155231188,160177925,17,
2021,161872858,166748468,21,
2021,160377028,165275760,27,
2021,160377023,165275755,3,
2021,156176711,161111607,27,
2021,160377037,165275770,14,
2021,157803519,162723989,3,
2021,157803519,162723990,25,
2021,157803520,162723989,25,
2021,157803520,162723990,3,
2021,158978663,163888663,24,
2021,156176701,161111595,21,
2021,156176701,161111596,25,
2021,156176702,161111595,25,
2021,148823354,153815435,3,
2021,156176702,161111596,21,
2021,161872861,166748471,1,
2021,147564882,152560514,5,
2021,156176696,161111589,16,
2021,148812159,153811015,3,
2021,156176696,161111590,3,
2021,156176697,161111589,3,
2021,156176697,161111590,16,
2021,156176690,161111582,17,
2021,153703340,158665645,7,
2021,158978678,163888674,3,
2021,157803523,162723993,16,
2021,156741723,161676096,19,
2021,156176676,161111568,19,
2021,161872911,166748516,3,
2021,158978687,163888682,21,
2021,165095195,169942014,24,
2021,165095195,169942015,24,
2021,163360430,168219239,13,
2021,163360430,168219240,17,
2021,157803508,162723977,25,
2021,157803508,162723978,3,
2021,157803509,162723977,3,
2021,157803509,162723978,25,
2021,157803506,162723975,21,
2021,157803512,162723981,16,
2021,157803512,162723982,3,
2021,157803513,162723981,3,
2021,157803513,162723982,16,
2021,158978655,163888655,14,
2021,157279547,162205853,3,
2021,165095347,169942173,1,
2021,150068145,155061565,21,
2021,158978655,163888656,16,
2021,158978679,163888675,17,
2021,158978679,163888676,16,
2021,158978680,163888675,16,
2021,158978680,163888676,5,
2021,161872956,166748558,18,
2021,161877695,166753219,1,
2021,158978675,163888672,25,
2021,158978675,163888673,16,
2021,158978676,163888672,16,
2021,158978676,163888673,25,
2021,158978677,163888672,16,
2021,158978677,163888673,3,
2021,165776246,170617056,1,
2021,165776247,170617056,16,
2021,158978668,163888667,3,
2021,158978664,163888664,16,
2021,158978664,163888665,16,
2021,158978665,163888664,16,
2021,158978665,163888665,16,
2021,160377071,165275805,3,
2021,160377066,165275800,1,
2021,160377069,165275803,21,
2021,161878686,166754208,1,
2021,161878686,166754209,1,
2021,160377047,165275778,1,
2021,160377045,165275776,21,
2021,161878675,166754197,24,
2021,165776253,170617062,3,
2021,161878670,166754194,21,
2021,165776309,170617117,1,
2021,149201969,154197000,15,
2021,163907457,168764316,4,
2021,149201971,154197002,17,
2021,163907458,168764316,4,
2021,163907484,168764350,21,
2021,149559270,154551004,3,
2021,165688501,170529874,19,
2021,149086409,154075059,21,
2021,152536449,157516289,27,
2021,152536448,157516288,13,
2021,155167456,160115125,15,
2021,165759200,170600026,15,
2021,165688506,170529879,3,
2021,165688507,170529879,4,
2021,155148961,160096253,1,
2021,165759201,170600026,5,
2021,155167455,160115124,1,
2021,165759199,170600025,18,
2021,160419658,165317502,14,
2021,163117499,167983632,3,
2021,151693562,156681546,27,
2021,147262854,152288268,9,
2021,163947290,168804110,1,
2021,151652023,156639462,27,
2021,160963078,165859370,24,
2021,150477701,155473921,3,
2021,151693557,156681540,21,
2021,151693559,156681542,19,
2021,155251910,160198768,9,
2021,155251908,160198767,3,
2021,155251907,160198766,21,
2021,155251906,160198765,18,
2021,155251905,160198764,16,
2021,151652024,156639462,1,
2021,157357354,162282919,21,
2021,147145780,152172323,19,
2021,157357355,162282920,16,
2021,160963084,165859376,5,
2021,162423469,167296427,5,
2021,162423472,167296430,16,
2021,162423473,167296430,16,
2021,162423474,167296430,16,
2021,162797405,167665972,1,
2021,150120758,155114472,3,
2021,150120758,155114473,25,
2021,150120759,155114472,25,
2021,150120759,155114473,3,
2021,163947551,168804329,5,
2021,150120777,155114485,1,
2021,151060080,156047818,21,
2021,151060080,156047819,25,
2021,151060081,156047818,25,
2021,151060081,156047819,21,
2021,152412422,157393828,1,
2021,153705065,158667396,16,
2021,152412432,157393837,3,
2021,153705068,158667398,21,
2021,153705077,158667409,15,
2021,156135507,161071721,13,
2021,157276783,162203089,9,
2021,163380327,168239314,1,
2021,163380327,168239315,1,
2021,163380327,168239316,1,
2021,159199602,164110507,3,
2021,159199602,164110508,25,
2021,159199604,164110510,1,
2021,159199605,164110510,1,
2021,160214478,165115515,3,
2021,163380338,168239328,3,
2021,150240525,155234258,3,
2021,150927161,155916597,1,
2021,150927161,155916598,1,
2021,153703337,158665643,3,
2021,147480010,152499753,16,
2021,147480007,152499751,11,
2021,147483687,152507431,16,
2021,149203662,154201371,3,
2021,150298736,155292535,16,
2021,151652079,156639525,13,
2021,151652080,156639525,21,
2021,151652074,156639521,19,
2021,152562477,157541587,3,
2021,155260168,160206952,20,
2021,157990916,162908015,27,
2021,157990926,162908024,27,
2021,157990918,162908017,3,
2021,157990922,162908021,9,
2021,157990921,162908020,9,
2021,157990923,162908022,16,
2021,157990924,162908022,13,
2021,159756779,164668374,1,
2021,159756773,164668368,1,
2021,159756778,164668373,20,
2021,159756774,164668369,13,
2021,164194062,169049824,17,
2021,164194063,169049824,17,
2021,162418484,167291379,3,
2021,162418483,167291378,17,
2021,152562471,157541579,16,
2021,149086417,154075070,21,
2021,159075144,163984922,1,
2021,161568958,166448608,3,
2021,153748728,158710780,1,
2021,158026352,162943505,21,
2021,163947554,168804331,21,
2021,147743725,152728074,16,
2021,147743725,152728075,16,
2021,147743725,152728076,16,
2021,147743724,152728074,16,
2021,147743724,152728075,16,
2021,147743724,152728076,16,
2021,147743727,152728078,16,
2021,161126086,166019438,16,
2021,161126098,166019448,16,
2021,147743735,152728085,11,
2021,147740865,152732935,17,
2021,147740864,152732935,17,
2021,147743745,152728094,16,
2021,147743858,152728200,16,
2021,147743861,152728204,16,
2021,147743864,152728207,16,
2021,148833302,153825167,16,
2021,148833302,153825168,16,
2021,148833302,153825169,16,
2021,148833301,153825167,16,
2021,148833301,153825168,16,
2021,148833301,153825169,16,
2021,147743899,152728246,16,
2021,147743901,152728248,16,
2021,148833317,153825183,16,
2021,148833316,153825183,16,
2021,150237846,155231628,3,
2021,148833320,153825185,3,
2021,161398107,166283476,16,
2021,148832285,153821251,21,
2021,148833327,153825192,16,
2021,148832293,153821261,5,
2021,148832296,153821264,16,
2021,148832296,153821265,16,
2021,148833335,153825200,19,
2021,148833337,153825202,16,
2021,148833353,153825218,3,
2021,150238001,155231646,2,
2021,150238003,155231649,16,
2021,150238009,155231656,16,
2021,150238010,155231657,16,
2021,150238021,155231667,21,
2021,161398108,166283477,16,
2021,161398109,166283477,16,
2021,150238027,155231672,16,
2021,150238028,155231673,16,
2021,150238052,155231697,16,
2021,150238175,155231823,5,
2021,150238177,155231825,16,
2021,150238178,155231826,16,
2021,158349079,163260376,18,
2021,158349079,163260377,18,
2021,158349098,163260403,18,
