data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,11696,134025398,20490445,f,2021-02-04 08:14:02.208465,2021-01-04,f,15,6,,ACCEPTED,,X,93919981
2021,11696,134025397,20490445,f,2021-02-04 08:13:59.417873,2021-01-08,f,18,6,,ACCEPTED,,X,93919978
2021,11696,135605908,20490446,f,2021-03-09 20:45:43.492557,2021-02-07,f,16,6,,ACCEPTED,,X,97182195
2021,11696,140255697,20490445,f,2021-07-21 18:28:09.599,2021-01-01,f,0,6,,ACCEPTED,,X,107468184
2021,11696,135612860,20490446,f,2021-03-09 20:45:46.299738,2021-02-09,f,18,6,,ACCEPTED,,X,97181347
2021,11696,135612859,20490446,f,2021-03-09 20:45:40.765549,2021-02-05,f,0,6,,ACCEPTED,,X,97181344
2021,11696,136677229,20490446,f,2021-04-12 17:44:57.341,2021-02-25,f,8,6,,ACCEPTED,,X,99664886
2021,11696,138105092,20490446,f,2021-05-20 16:13:35.948,2021-02-16,f,0,6,,ACCEPTED,,X,102502638
2021,11696,136677228,40276245,f,2021-04-12 17:44:56.181,2021-03-13,f,13,6,,ACCEPTED,,X,99664883
2021,11696,140255700,40276245,f,2021-07-21 18:28:13.633,2021-03-22,f,7,6,,ACCEPTED,,X,107468193
2021,11696,142697849,40276245,f,2021-09-30 15:28:07.051,2021-03-22,f,0,6,,ACCEPTED,,X,112871135
2021,11696,138105095,40276245,f,2021-05-20 16:13:38.344,2021-03-25,f,0,6,,ACCEPTED,,X,102502650
2021,11696,140255702,40276245,f,2021-07-21 18:28:17.815,2021-03-30,f,12,6,,ACCEPTED,,X,107468200
2021,11696,148621482,40276245,f,2022-02-09 16:28:11.063,2021-03-31,f,9,6,,WARNINGS,,X,126980838
2021,11696,148745384,40276245,f,2022-02-14 20:13:05.106,2021-03-18,f,13,6,,ACCEPTED,,X,127351865
2021,11696,138545478,40289757,f,2021-06-16 12:58:21.828,2021-04-10,f,9,6,,ACCEPTED,,X,103557729
2021,11696,148623158,40289757,f,2022-02-09 19:58:05.176,2021-04-13,f,23,6,,ACCEPTED,,X,126987104
2021,11696,138105090,40289757,f,2021-05-20 16:13:34.306,2021-04-16,f,18,6,,ACCEPTED,,X,102502632
2021,11696,140255698,40295411,f,2021-07-21 18:28:11.54,2021-05-05,f,21,6,,ACCEPTED,,X,107468187
2021,11696,138545481,40295411,f,2021-06-16 12:58:25.758,2021-05-12,f,15,6,,ACCEPTED,,X,103557738
2021,11696,148621481,40295411,f,2022-02-09 16:28:09.998,2021-05-18,f,0,6,,ACCEPTED,,X,126980835
2021,11696,140255704,40295411,f,2021-07-21 18:28:19.22,2021-05-28,f,19,6,,ACCEPTED,,X,107468205
2021,11696,140255705,40311380,f,2021-07-21 18:28:20.54,2021-06-05,f,15,6,,ACCEPTED,,X,107468208
2021,11696,140255699,40311380,f,2021-07-21 18:28:12.475,2021-06-08,f,0,6,,ACCEPTED,,X,107468190
2021,11696,140983828,40311380,f,2021-08-10 12:58:22.103,2021-06-10,f,0,6,,ACCEPTED,,X,109051299
2021,11696,140983827,40311380,f,2021-08-10 12:58:20.661,2021-06-25,f,9,6,,ACCEPTED,,X,109051296
2021,11696,140983826,40317777,f,2021-08-10 12:58:19.461,2021-07-14,f,14,6,,ACCEPTED,,X,109051293
2021,11696,140983825,40317777,f,2021-08-10 12:58:18.201,2021-07-03,f,0,6,,ACCEPTED,,X,109051290
2021,11696,140983823,40317777,f,2021-08-10 12:58:15.861,2021-07-08,f,19,6,,ACCEPTED,,X,109051284
2021,11696,140983824,40317777,f,2021-08-10 12:58:17.201,2021-07-10,f,21,6,,ACCEPTED,,X,109051287
2021,11696,148621476,40317777,f,2022-02-09 16:28:05.58,2021-07-14,f,17,6,,ACCEPTED,,X,126980820
2021,11696,140983821,40317777,f,2021-08-10 12:58:13.346,2021-07-21,f,17,6,,ACCEPTED,,X,109051278
2021,11696,148621480,40317777,f,2022-02-09 16:28:09.063,2021-07-23,f,0,6,,ACCEPTED,,X,126980832
2021,11696,140983822,40317777,f,2021-08-10 12:58:14.582,2021-07-23,f,0,6,,ACCEPTED,,X,109051281
2021,11696,148621479,40317777,f,2022-02-09 16:28:08.18,2021-07-30,f,6,6,,ACCEPTED,,X,126980829
2021,11696,142306797,40330397,f,2021-09-17 18:28:28.189,2021-08-01,f,22,6,,ACCEPTED,,X,111946649
