data_year,weapon_id,offense_id,nibrs_weapon_id
2021,42,161424051,
2021,39,171455481,
2021,41,166187142,
2021,42,178229253,
2021,41,178372516,
2021,41,166696128,
2021,41,178231162,
2021,3,168661356,
2021,41,169494133,
2021,41,169494131,
2021,41,178229250,
2021,41,178229256,
2021,41,175126645,
2021,41,175126697,
2021,41,162951864,
2021,41,162945943,
2021,41,166672382,
2021,31,167802799,
2021,32,167802800,
2021,21,167802806,
2021,41,170397206,
2021,41,169410522,
2021,41,171543994,
2021,41,171544773,
2021,41,178360947,
2021,21,180059222,
2021,41,173287449,
2021,32,178360930,
2021,41,174890032,
2021,41,174890034,
2021,41,178360937,
2021,21,161314246,
2021,41,161329165,
2021,41,164445156,
2021,41,163208781,
2021,5,163217547,
2021,41,163208794,
2021,41,163217541,
2021,3,164445184,
2021,41,164445195,
2021,41,164445193,
2021,31,164445192,
2021,41,164445183,
2021,41,164445176,
2021,41,164445160,
2021,41,164445172,
2021,41,164445165,
2021,41,164445163,
2021,41,165590628,
2021,41,164445161,
2021,41,164445158,
2021,41,176161336,
2021,41,165590625,
2021,41,170442274,
2021,41,166650068,
2021,41,166646242,
2021,41,174658966,
2021,41,166650095,
2021,41,174658972,
2021,41,166650085,
2021,41,176155518,
2021,41,168073517,
2021,31,168073557,
2021,41,169495069,
2021,38,166650073,
2021,41,166649808,
2021,41,168073536,
2021,41,168073553,
2021,41,168073548,
2021,35,168073550,
2021,37,168073550,
2021,41,168073539,
2021,38,168073537,
2021,9,168073538,
2021,41,168073531,
2021,21,176155546,
2021,41,168073528,
2021,41,174658978,
2021,41,170442285,
2021,41,169495099,
2021,41,176155569,
2021,41,174658975,
2021,41,172075696,
2021,38,172075695,
2021,41,170442414,
2021,21,170442409,
2021,41,170442402,
2021,41,173260957,
2021,41,172075699,
2021,41,170442388,
2021,41,176155622,
2021,41,173260965,
2021,41,172075686,
2021,41,172075684,
2021,41,172075689,
2021,38,172075689,
2021,41,173260937,
2021,41,173260958,
2021,41,176160344,
2021,41,173260956,
2021,32,180077625,
2021,41,173260946,
2021,41,174659023,
2021,38,174659019,
2021,41,174659018,
2021,41,174659021,
2021,41,176161317,
2021,41,180077632,
2021,38,176161314,
2021,41,180077695,
2021,41,178191144,
2021,41,178191173,
2021,41,163816276,
2021,41,163222513,
2021,21,163222510,
2021,41,166796591,
2021,39,166796590,
